precision,workload_type,workload_function,dims,iterations
bf16,nonlinear,softmax,"(16384, 960)",-1
fp16,nonlinear,softmax,"(16384, 960)",-1
fp32,nonlinear,softmax,"(16384, 960)",-1
bf16,nonlinear,softmax,"(16, 1024)",-1
fp16,nonlinear,softmax,"(16, 1024)",-1
fp32,nonlinear,softmax,"(16, 1024)",-1
bf16,nonlinear,softmax,"(16, 128)",-1
fp16,nonlinear,softmax,"(16, 128)",-1
fp32,nonlinear,softmax,"(16, 128)",-1
bf16,nonlinear,softmax,"(16, 192)",-1
fp16,nonlinear,softmax,"(16, 192)",-1
fp32,nonlinear,softmax,"(16, 192)",-1
bf16,nonlinear,softmax,"(16, 256)",-1
fp16,nonlinear,softmax,"(16, 256)",-1
fp32,nonlinear,softmax,"(16, 256)",-1
bf16,nonlinear,softmax,"(16, 320)",-1
fp16,nonlinear,softmax,"(16, 320)",-1
fp32,nonlinear,softmax,"(16, 320)",-1
bf16,nonlinear,softmax,"(16, 384)",-1
fp16,nonlinear,softmax,"(16, 384)",-1
fp32,nonlinear,softmax,"(16, 384)",-1
bf16,nonlinear,softmax,"(16, 448)",-1
fp16,nonlinear,softmax,"(16, 448)",-1
fp32,nonlinear,softmax,"(16, 448)",-1
bf16,nonlinear,softmax,"(16, 512)",-1
fp16,nonlinear,softmax,"(16, 512)",-1
fp32,nonlinear,softmax,"(16, 512)",-1
bf16,nonlinear,softmax,"(16, 576)",-1
fp16,nonlinear,softmax,"(16, 576)",-1
fp32,nonlinear,softmax,"(16, 576)",-1
bf16,nonlinear,softmax,"(16, 640)",-1
fp16,nonlinear,softmax,"(16, 640)",-1
fp32,nonlinear,softmax,"(16, 640)",-1
bf16,nonlinear,softmax,"(16, 704)",-1
fp16,nonlinear,softmax,"(16, 704)",-1
fp32,nonlinear,softmax,"(16, 704)",-1
bf16,nonlinear,softmax,"(16, 768)",-1
fp16,nonlinear,softmax,"(16, 768)",-1
fp32,nonlinear,softmax,"(16, 768)",-1
bf16,nonlinear,softmax,"(16, 832)",-1
fp16,nonlinear,softmax,"(16, 832)",-1
fp32,nonlinear,softmax,"(16, 832)",-1
bf16,nonlinear,softmax,"(16, 896)",-1
fp16,nonlinear,softmax,"(16, 896)",-1
fp32,nonlinear,softmax,"(16, 896)",-1
bf16,nonlinear,softmax,"(16, 960)",-1
fp16,nonlinear,softmax,"(16, 960)",-1
fp32,nonlinear,softmax,"(16, 960)",-1
bf16,nonlinear,softmax,"(1, 1024)",-1
fp16,nonlinear,softmax,"(1, 1024)",-1
fp32,nonlinear,softmax,"(1, 1024)",-1
bf16,nonlinear,softmax,"(1, 128)",-1
fp16,nonlinear,softmax,"(1, 128)",-1
fp32,nonlinear,softmax,"(1, 128)",-1
bf16,nonlinear,softmax,"(1, 192)",-1
fp16,nonlinear,softmax,"(1, 192)",-1
fp32,nonlinear,softmax,"(1, 192)",-1
bf16,nonlinear,softmax,"(1, 256)",-1
fp16,nonlinear,softmax,"(1, 256)",-1
fp32,nonlinear,softmax,"(1, 256)",-1
bf16,nonlinear,softmax,"(1, 320)",-1
fp16,nonlinear,softmax,"(1, 320)",-1
fp32,nonlinear,softmax,"(1, 320)",-1
bf16,nonlinear,softmax,"(1, 384)",-1
fp16,nonlinear,softmax,"(1, 384)",-1
fp32,nonlinear,softmax,"(1, 384)",-1
bf16,nonlinear,softmax,"(1, 448)",-1
fp16,nonlinear,softmax,"(1, 448)",-1
fp32,nonlinear,softmax,"(1, 448)",-1
bf16,nonlinear,softmax,"(1, 512)",-1
fp16,nonlinear,softmax,"(1, 512)",-1
fp32,nonlinear,softmax,"(1, 512)",-1
bf16,nonlinear,softmax,"(1, 576)",-1
fp16,nonlinear,softmax,"(1, 576)",-1
fp32,nonlinear,softmax,"(1, 576)",-1
bf16,nonlinear,softmax,"(1, 640)",-1
fp16,nonlinear,softmax,"(1, 640)",-1
fp32,nonlinear,softmax,"(1, 640)",-1
bf16,nonlinear,softmax,"(1, 704)",-1
fp16,nonlinear,softmax,"(1, 704)",-1
fp32,nonlinear,softmax,"(1, 704)",-1
bf16,nonlinear,softmax,"(1, 768)",-1
fp16,nonlinear,softmax,"(1, 768)",-1
fp32,nonlinear,softmax,"(1, 768)",-1
bf16,nonlinear,softmax,"(1, 832)",-1
fp16,nonlinear,softmax,"(1, 832)",-1
fp32,nonlinear,softmax,"(1, 832)",-1
bf16,nonlinear,softmax,"(1, 896)",-1
fp16,nonlinear,softmax,"(1, 896)",-1
fp32,nonlinear,softmax,"(1, 896)",-1
bf16,nonlinear,softmax,"(1, 960)",-1
fp16,nonlinear,softmax,"(1, 960)",-1
fp32,nonlinear,softmax,"(1, 960)",-1
bf16,nonlinear,softmax,"(2048, 1024)",-1
fp16,nonlinear,softmax,"(2048, 1024)",-1
fp32,nonlinear,softmax,"(2048, 1024)",-1
bf16,nonlinear,softmax,"(2048, 128)",-1
fp16,nonlinear,softmax,"(2048, 128)",-1
fp32,nonlinear,softmax,"(2048, 128)",-1
bf16,nonlinear,softmax,"(2048, 192)",-1
fp16,nonlinear,softmax,"(2048, 192)",-1
fp32,nonlinear,softmax,"(2048, 192)",-1
